intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1640000,0.11909949164851126,0.7321428571428571,0.11909949164851126,0.0842646114322415,4.0,3.0,6.683616663702151,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_027697865.1 Lactobacillus amylovorus,1702e3419c35ea4dfae22842e3b9d5e5,0.7321428571428571,1640000,0,12130000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135303.x.s__Lactobacillus amylovorus,95849dca,13770000,51,DNA,10000,1377,True,0.9591368710657057,0.9939053223952535,0.9765210967304796,0.9939053223952535,False,656,656,7785,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus
880000,0.06390704429920116,0.4131455399061033,0.06390704429920116,0.06062941554271034,5.363636363636363,2.0,22.81306534451745,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_002128705.1 Limosilactobacillus reuteri,c87a1182b6c986dec0a35db887e076a0,0.4131455399061033,880000,1,11250000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135303.x.s__Lactobacillus amylovorus,95849dca,13770000,51,DNA,10000,1377,True,0.9475003670922792,0.982816885108834,0.9651586261005567,0.982816885108834,False,472,1128,7785,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri_I
560000,0.04066811909949165,0.242152466367713,0.0392156862745098,0.021965317919075144,3.1666666666666665,3.0,2.47019267504619,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_946407415.1 uncultured Lactobacillus sp.,1c25d83e80557c4159e9f5f5cdedbb0c,0.25112107623318386,540000,2,10710000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135303.x.s__Lactobacillus amylovorus,95849dca,13770000,51,DNA,10000,1377,True,0.9391402893545643,0.973269252150668,0.9562047707526161,0.973269252150668,False,171,1299,7785,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus sp945980025
1580000,0.11474219317356572,0.13023255813953488,0.020334059549745823,0.009762363519588953,2.7142857142857144,2.5,1.4356965173029845,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_938044755.1 Lactobacillus amylovorus,bed2e48c0d80ec79d93979ad1d5c4ff4,0.7348837209302326,280000,3,10430000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135303.x.s__Lactobacillus amylovorus,95849dca,13770000,51,DNA,10000,1377,True,0.9584361787224681,0.9939781457567588,0.9762071622396135,0.9939781457567588,False,76,1375,7785,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus
560000,0.04066811909949165,0.11518324607329843,0.01597676107480029,0.009248554913294798,3.272727272727273,3.0,1.8385225832869712,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_001714745.1 Lactobacillus johnsonii,76c11ef6a629fb74dec59568bf1241dd,0.2931937172774869,220000,4,10210000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135303.x.s__Lactobacillus amylovorus,95849dca,13770000,51,DNA,10000,1377,True,0.9391402893545643,0.9762297809602729,0.9576850351574187,0.9762297809602729,False,72,1447,7785,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus sp945980025
770000,0.05591866376180102,0.06091370558375635,0.008714596949891068,0.0038535645472061657,2.5,1.0,2.0207259421636903,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945939435.1 uncultured Lactobacillus sp.,954108f44da346f04ba38ed1d2ca7b78,0.39086294416243655,120000,5,10090000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135303.x.s__Lactobacillus amylovorus,95849dca,13770000,51,DNA,10000,1377,True,0.9450228071837717,0.9817490289311621,0.9633859180574669,0.9817490289311621,False,30,1477,7785,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri
1360000,0.09876543209876543,0.04081632653061224,0.007262164124909223,0.0023121387283236996,1.8,1.0,1.077032961426901,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_028309085.1 Lactobacillus amylovorus,ca37f7a6b47a872f44aa6b9c6ee6e2eb,0.5551020408163265,100000,6,9990000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135303.x.s__Lactobacillus amylovorus,95849dca,13770000,51,DNA,10000,1377,True,0.9556225117102646,0.9885251029881421,0.9720738073492033,0.9885251029881421,False,18,1495,7785,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus
540000,0.0392156862745098,0.05421686746987952,0.006535947712418301,0.002697495183044316,2.3333333333333335,2.0,1.2472191289246473,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_032463685.1 Lactobacillus johnsonii,117a09d4ba1ec97168ba9adc130693e7,0.3253012048192771,90000,7,9900000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135303.x.s__Lactobacillus amylovorus,95849dca,13770000,51,DNA,10000,1377,True,0.9384708355272364,0.978220982287595,0.9583459089074158,0.978220982287595,False,21,1516,7785,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus sp945980025
80000,0.005809731299927378,0.0326530612244898,0.005809731299927378,0.010533076429030187,10.25,8.0,6.959705453537527,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_946411645.1 uncultured Bacteroidales bacterium,6c1751babf68dc3c1f04424863bbb1ed,0.0326530612244898,80000,8,9820000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135303.x.s__Lactobacillus amylovorus,95849dca,13770000,51,DNA,10000,1377,True,0.9039822904773787,0.9351068814759577,0.9195445859766682,0.9351068814759577,False,82,1598,7785,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__Sodaliphilus sp004557565
1570000,0.1140159767610748,0.03571428571428571,0.005809731299927378,0.02132305716120745,20.75,1.5,51.12179085282518,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_029477185.1 Lactobacillus amylovorus,755833e2fccbd810454ffc7bbdc79845,0.7008928571428571,80000,9,9740000,outputs.mapping/bams.cds.rand/ERR1135303.x.s__Lactobacillus amylovorus.fastq.gz,ERR1135303.x.s__Lactobacillus amylovorus,95849dca,13770000,51,DNA,10000,1377,True,0.9583168659629705,0.9930555923300396,0.975686229146505,0.9930555923300396,False,166,1764,7785,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus
